Date,d_subj,d_pol,b_subj,b_pol,c_subj,c_pol,avg_subj,avg_pol
2020-10-01,0.37400459656084656,0.20888584054834056,0.1697036502592058,0.041579819357597136,0.5436690656565656,0.1946017135642136,0.36245910415887267,0.14835579115671713
2020-10-02,0.35362445887445887,0.20808612914862917,0.2886556649295503,0.06224804919072436,0.5344809523809524,0.19892770562770565,0.3922536920616539,0.1564206279890197
2020-10-03,0.46836221139971135,0.08674258658008657,0.16245192307692308,0.00823717948717949,0.4830045454545454,0.22867594696969695,0.3712728933103933,0.10788523767898767
2020-10-04,0.3572600108225108,0.12646904761904762,0.13355429292929294,0.04554924242424242,0.4490151515151515,0.18915786435786436,0.3132764850889851,0.12039205146705147
2020-10-05,0.4641017857142857,0.12600554653679652,0.16767084911616162,0.07592625473484849,0.45845814393939394,0.19606160714285714,0.3634102595899471,0.1326644694715007
2020-10-06,0.3884915043290043,0.12181863275613276,0.1876723033910534,0.047165749759499755,0.3536617965367965,0.13367153679653682,0.3099418680856181,0.10088530643738979
2020-10-07,0.23374069264069264,0.1065800505050505,0.21854095804988663,0.1142506055452484,0.41415808080808075,0.1607510461760462,0.2888132438328867,0.12719390074211503
2020-10-08,0.2411919672919673,0.11676495310245309,0.22443795447471918,0.01883103620235973,0.4376441919191919,0.17130593434343436,0.3010913712286261,0.1023006412160824
2020-10-09,0.3392508477633478,0.15581982323232324,0.14420733307096945,0.015785123966942146,0.42476563852813853,0.18376549422799424,0.3027412731208186,0.11845681380908653
2020-10-10,0.5762722222222222,0.016308008658008657,0.30573775319330876,0.010647087274865047,0.47259781144781143,0.19975064935064935,0.45153592895444744,0.07556858176117436
2020-10-11,0.4916566859066859,0.07366883116883118,0.2711798658857483,0.0333747930990578,0.4602583333333333,0.18014213564213566,0.4076982950419225,0.09572858663667488
2020-10-12,0.61255772005772,0.04019715007215007,0.24607008459949636,0.05954874373992021,0.394675,0.1346520562770563,0.4177676015524055,0.07813265002970886
2020-10-13,0.4843880772005772,0.02541116522366522,0.2320145903479237,0.028488769684421857,0.3426412726162726,0.15069409271284273,0.35301464672159116,0.0681980092069766
2020-10-14,0.4061691558441558,0.09558939393939393,0.14031022169320043,-0.006428110896196004,0.4624213023088023,0.0963162518037518,0.3363002266153862,0.061825844948983244
2020-10-15,0.38094751082251077,0.10365481601731602,0.28055297017797015,0.08669191919191918,0.3793012987012987,0.08238024891774892,0.3469339265672599,0.09090899470899472
2020-10-16,0.4437479346353392,0.15063799114371632,0.2186641274529473,0.056801578338845415,0.4175685786435786,0.16560476190476192,0.3599935469106217,0.12434811046244121
2020-10-17,0.43789811379097093,0.12910946196660483,0.19740543967816696,-0.0013820018365472925,0.4014338383838384,0.14518099747474747,0.34557913061765877,0.09096948586826832
2020-10-18,0.47412589094407276,0.17715193056102146,0.14285341095685924,-0.006986117330944918,0.468770202020202,0.23398183621933621,0.36191650130704467,0.13471588314980423
2020-10-19,0.37092510822510827,0.1603669913419913,0.22473347763347765,0.12784209956709958,0.37844069264069263,0.17173463203463205,0.32469975949975954,0.1533145743145743
2020-10-20,0.30401570401570405,0.12384888947388947,0.2803822486053891,0.12152803119745267,0.3074367965367965,0.15818012265512266,0.29727824971929656,0.13451901444215494
2020-10-21,0.30342282589989017,0.08698833022227517,0.26398786176430405,0.11634370570668648,0.4781198593073593,0.2433921536796537,0.34851018232385117,0.14890806320287178
2020-10-22,0.34894915635047213,0.12240098351940457,0.32943523413656156,0.16580661226678925,0.36361313131313133,0.19506251803751806,0.3473325072667217,0.1610900379412373
2020-10-23,0.31084553325462416,0.0730241046831956,0.3838288414094866,0.19807708420611644,0.39365353535353537,0.17252058080808083,0.3627759700058821,0.1478739232324643
2020-10-24,0.39361705861705865,0.09204993954993955,0.3399942027565484,0.08558005095042132,0.3963463564213564,0.15570598845598846,0.37665253926498776,0.11111199298544978
2020-10-25,0.3896775110411474,0.14394354022600775,0.31274857954545454,0.184358428030303,0.46529653679653676,0.2315236111111111,0.38924087579437955,0.18660852645580728
2020-10-26,0.22329200619641798,0.06484699940582293,0.3036945646945647,0.07151236171236171,0.30637676767676764,0.14656594516594518,0.27778777952258343,0.09430843542804328
2020-10-27,0.4657475262832405,0.26096745516388375,0.3224583132916466,0.09852147011237919,0.2837012626262626,0.09881181457431458,0.35730236740038324,0.15276691328352585
2020-10-28,0.31022327584232345,0.12182120524977667,0.27397764319014317,0.12074388528138527,0.2833202380952381,0.15462456709956712,0.2891737190425682,0.13239655254357635
2020-10-29,0.2620351239669422,0.10475780532598715,0.28607922077922077,0.08427647907647907,0.42670299422799424,0.21334758297258297,0.3249391129913857,0.1341272891250164
2020-10-30,0.2620351239669422,0.10475780532598715,0.28607922077922077,0.08427647907647907,0.42670299422799424,0.21334758297258297,0.3249391129913857,0.1341272891250164
2020-10-31,0.2620351239669422,0.10475780532598715,0.28607922077922077,0.08427647907647907,0.42670299422799424,0.21334758297258297,0.3249391129913857,0.1341272891250164
2020-11-01,0.3063045084996305,0.07970343680709534,0.16590170940170942,0.07256177156177156,0.4561766714766715,0.2244297619047619,0.3094609631260038,0.1255649900912096
2020-11-02,0.268940498277233,0.08873216494389963,0.25560947570947573,0.10251444203944203,0.40200283882783877,0.22120620490620493,0.30885093760484916,0.1374842706298489
2020-11-03,0.31929980072837216,0.1349993128564557,0.2939699060026163,0.12329284163396313,0.2866665584415584,0.13070211038961038,0.29997875505751564,0.12966475496000973
2020-11-04,0.2708007828697484,0.09055787762684314,0.26135031830914185,0.07333043884220353,0.41308097402597405,0.20585858225108225,0.3150773584016214,0.12324896624004296
2020-11-05,0.24464323125434234,0.06953346961680294,0.17856190476190478,0.06827440476190476,0.37994565295815297,0.1885321067821068,0.2677169296581334,0.10877999372027151
2020-11-06,0.3069736312399356,0.11158803354455528,0.31048958578028346,0.06126925400181214,0.2983926226551227,0.14620550144300146,0.30528527989178056,0.1063542629964563
2020-11-07,0.22488148289618878,0.03413706391647568,0.36751371987592457,0.011632068718682897,0.30776608946608947,0.07861682900432901,0.30005376407940093,0.04146198721316253
2020-11-08,0.3482024485930736,0.15983833874458875,0.504483282674772,-0.14300911854103343,0.3173503607503607,0.1347741883116883,0.3900120306727355,0.050534469505081205
2020-11-09,0.191753848003848,0.08026953205524635,0.3240382819794585,0.010323366720425546,0.3278991822991823,0.19679516594516597,0.28123043742749626,0.09579602157361262
