Date,subj,pol
2020-10-05,0.0,0.0
2020-10-06,0.06180555555555556,0.01875
2020-10-07,0.28125,0.09801136363636363
2020-10-08,0.30714285714285716,0.25
2020-10-09,1.0,0.8
2020-10-10,1.0,0.8
2020-10-11,1.0,0.8
2020-10-12,0.9666666666666667,0.4000000000000001
2020-10-13,0.0,0.0
2020-10-14,0.0,0.0
2020-10-15,0.0,0.0
2020-10-16,0.0,0.0
2020-10-17,0.5,0.5
2020-10-18,0.5,0.5
2020-10-19,0.5,0.5
2020-10-20,0.44242424242424244,0.1227272727272727
2020-10-21,0.44242424242424244,0.1227272727272727
2020-10-22,0.10833333333333334,-0.025000000000000005
2020-10-23,0.13333333333333333,0.0
2020-10-24,0.32569444444444445,-0.009722222222222222
2020-10-25,0.35714285714285715,0.15476190476190477
2020-10-26,0.17708333333333334,0.10416666666666667
2020-10-27,0.5219444444444444,0.3828968253968254
2020-10-28,0.3054545454545455,0.06999999999999999
2020-10-29,0.6266666666666667,0.4594444444444445
2020-10-30,0.14540816326530612,0.1346938775510204
2020-10-31,0.25,0.25
2020-11-01,0.425,0.26666666666666666
2020-11-02,0.425,0.26666666666666666
2020-11-03,0.447334455667789,0.26062008978675644
2020-11-04,0.09999999999999999,-0.09999999999999999
2020-11-05,0.3332431457431457,0.14015151515151514
2020-11-06,0.5,0.0
2020-11-07,0.23863636363636365,-0.012784090909090912
2020-11-08,0.23863636363636365,-0.012784090909090912
2020-11-09,0.14090909090909093,0.07727272727272727
2020-11-10,0.15555555555555553,0.15555555555555553
2020-11-11,0.7136363636363636,0.25075757575757573
2020-11-12,0.4188253968253968,0.0955952380952381
2020-11-13,0.5,0.15
2020-11-14,0.3,0.25
2020-11-15,0.3,0.25
2020-11-16,0.5666666666666668,0.13333333333333333
2020-11-17,0.1,0.05
2020-11-18,0.2818585858585859,0.12591919191919193
2020-11-19,0.37861952861952863,0.18041125541125538
2020-11-20,0.40138888888888885,0.13472222222222222
2020-11-21,0.5,0.25
2020-11-22,0.5,0.25
2020-11-23,0.6333333333333333,0.18939393939393936
2020-11-24,0.4425,0.05409090909090909
2020-11-25,0.5448484848484849,0.20212121212121215
2020-11-26,0.5448484848484849,0.20212121212121215
2020-11-27,0.4,0.0
2020-11-28,0.4,0.0
2020-11-29,0.4,0.0
2020-11-30,0.3,0.25
2020-12-01,0.0,0.0
2020-12-02,0.21666666666666667,0.15
2020-12-03,0.65,0.45
2020-12-04,0.4444444444444444,0.25
2020-12-05,0.26,0.0
2020-12-06,0.3504699775533109,0.10606060606060606
2020-12-07,0.3053030303030303,0.12878787878787878
2020-12-08,0.612037037037037,0.2722222222222222
2020-12-09,0.2689935064935065,0.060876623376623376
2020-12-10,0.5,0.25
2020-12-11,0.29545454545454547,0.02727272727272727
2020-12-12,0.4875,0.1625
2020-12-13,0.0,0.0
2020-12-14,0.6352040816326531,0.4635497835497836
2020-12-15,0.3989583333333333,0.187405303030303
2020-12-16,0.6416666666666666,0.4083333333333333
2020-12-17,0.4236111111111111,0.3833333333333333
2020-12-18,0.18,0.10727272727272727
2020-12-19,0.3386363636363636,0.2340909090909091
2020-12-20,0.325,-0.125
2020-12-21,0.490625,0.3234375
2020-12-22,0.42812950937950944,0.12613636363636363
2020-12-23,0.36250000000000004,0.175
2020-12-24,0.2753203463203463,0.15513419913419915
2020-12-25,0.2753203463203463,0.15513419913419915
2020-12-26,0.3,0.1
2020-12-27,0.3,0.1
2020-12-28,0.0,0.0
2020-12-29,0.4527777777777778,0.20050505050505052
2020-12-30,0.38125,0.13898809523809524
2020-12-31,0.38125,0.13898809523809524
2021-01-01,0.35000000000000003,0.0875
2021-01-02,0.35000000000000003,0.0875
2021-01-03,0.95,0.35000000000000003
2021-01-04,0.4642857142857143,0.31428571428571433
2021-01-05,0.3125,0.2725
2021-01-06,0.44431818181818183,0.1503787878787879
2021-01-07,0.3689253647586981,0.12547699214365882
2021-01-08,0.3689253647586981,0.12547699214365882
2021-01-09,0.4972727272727272,0.1481818181818182
2021-01-10,0.45454545454545453,0.13636363636363635
2021-01-11,0.225,0.07500000000000001
2021-01-12,0.0,0.0
2021-01-13,0.3333333333333333,0.16666666666666666
2021-01-14,0.0,0.0
2021-01-15,0.875,0.375
2021-01-16,0.2,0.225
2021-01-17,0.2,0.225
2021-01-18,0.21944444444444444,0.16666666666666666
2021-01-19,0.21944444444444444,0.16666666666666666
2021-01-20,0.3333333333333333,0.0666666666666667
2021-01-21,0.38611111111111107,0.05429292929292928
2021-01-22,0.5,0.25
2021-01-23,0.5,0.25
2021-01-24,0.625,0.041666666666666664
2021-01-25,0.625,0.041666666666666664
2021-01-26,0.625,0.041666666666666664
2021-01-27,0.625,0.041666666666666664
2021-01-28,0.5399999999999999,0.16
2021-01-29,0.6007575757575757,0.41439393939393937
2021-01-30,0.6666666666666666,0.16666666666666666
2021-01-31,0.35,0.1590909090909091
2021-02-01,0.34431818181818186,0.11079545454545456
2021-02-02,0.24675324675324675,0.05519480519480519
2021-02-03,0.3680555555555555,0.1625
2021-02-04,0.1878968253968254,0.03333333333333333
2021-02-05,0.25,0.25
2021-02-06,0.0,0.0
2021-02-07,0.9,0.5
2021-02-08,0.65,0.4666666666666666
2021-02-09,0.28049242424242427,0.07902462121212121
2021-02-10,0.1499891774891775,0.048279220779220776
2021-02-11,0.17616883116883114,0.06870129870129871
2021-02-12,0.0,0.0
2021-02-13,0.45,0.25
2021-02-14,0.5104166666666666,-0.15625
2021-02-15,0.5104166666666666,-0.15625
