Date,IC_acct_subj,IC_acct_pol,defi_subj,defi_pol,blockchan_subj,blockchain_pol,crypto_subj,crypto_pol,avg_3k_subj,avg_3k_pol,DPI_subj,DPI_pol
01-10-20,,,0.374004597,0.208885841,0.16970365,0.041579819,0.543669066,0.194601714,0.362459104,0.148355791,,
02-10-20,,,0.353624459,0.208086129,0.288655665,0.062248049,0.534480952,0.198927706,0.392253692,0.156420628,0.29537037,0.237962963
03-10-20,,,0.468362211,0.086742587,0.162451923,0.008237179,0.483004545,0.228675947,0.371272893,0.107885238,0.575,0.4
04-10-20,,,0.357260011,0.126469048,0.133554293,0.045549242,0.449015152,0.189157864,0.313276485,0.120392051,0,0
05-10-20,0,0,0.464101786,0.126005547,0.167670849,0.075926255,0.458458144,0.196061607,0.36341026,0.132664469,0,0
06-10-20,0.061805556,0.01875,0.388491504,0.121818633,0.187672303,0.04716575,0.353661797,0.133671537,0.309941868,0.100885306,0.513230597,0.17231557
07-10-20,0.28125,0.098011364,0.233740693,0.106580051,0.218540958,0.114250606,0.414158081,0.160751046,0.288813244,0.127193901,0.262520087,0.061358615
08-10-20,0.307142857,0.25,0.241191967,0.116764953,0.224437954,0.018831036,0.437644192,0.171305934,0.301091371,0.102300641,0.418254351,0.241039491
09-10-20,1,0.8,0.339250848,0.155819823,0.144207333,0.015785124,0.424765639,0.183765494,0.302741273,0.118456814,0.43020362,0.100622172
10-10-20,1,0.8,0.576272222,0.016308009,0.305737753,0.010647087,0.472597811,0.199750649,0.451535929,0.075568582,0,0
11-10-20,1,0.8,0.491656686,0.073668831,0.271179866,0.033374793,0.460258333,0.180142136,0.407698295,0.095728587,0.0375,0.0125
12-10-20,0.966666667,0.4,0.61255772,0.04019715,0.246070085,0.059548744,0.394675,0.134652056,0.417767602,0.07813265,0.367552949,0.237771261
13-10-20,0,0,0.484388077,0.025411165,0.23201459,0.02848877,0.342641273,0.150694093,0.353014647,0.068198009,0.143027211,0.065646259
14-10-20,0,0,0.406169156,0.095589394,0.140310222,-0.006428111,0.462421302,0.096316252,0.336300227,0.061825845,0.3328125,-0.05
15-10-20,0,0,0.380947511,0.103654816,0.28055297,0.086691919,0.379301299,0.082380249,0.346933927,0.090908995,0.35857684,0.118614719
16-10-20,0,0,0.443747935,0.150637991,0.218664127,0.056801578,0.417568579,0.165604762,0.359993547,0.12434811,0.285621521,0.151043599
17-10-20,0.5,0.5,0.437898114,0.129109462,0.19740544,-0.001382002,0.401433838,0.145180997,0.345579131,0.090969486,0.052173913,0
18-10-20,0.5,0.5,0.474125891,0.177151931,0.142853411,-0.006986117,0.468770202,0.233981836,0.361916501,0.134715883,0.433078231,0.021513605
