Date,DPI_subj,DPI_pol
2020-10-02,0.29537037037037034,0.237962962962963
2020-10-03,0.575,0.4
2020-10-04,0.0,0.0
2020-10-05,0.0,0.0
2020-10-06,0.5132305965639299,0.1723155702322369
2020-10-07,0.2625200872359963,0.06135861455463727
2020-10-08,0.4182543507362784,0.24103949129852745
2020-10-09,0.4302036199095023,0.10062217194570136
2020-10-10,0.0,0.0
2020-10-11,0.037500000000000006,0.0125
2020-10-12,0.36755294884327144,0.23777126099706744
2020-10-13,0.14302721088435374,0.06564625850340135
2020-10-14,0.33281250000000007,-0.05
2020-10-15,0.3585768398268398,0.11861471861471862
2020-10-16,0.28562152133580704,0.151043599257885
2020-10-17,0.05217391304347827,0.0
2020-10-18,0.43307823129251705,0.021513605442176873
2020-10-19,0.2722634508348794,0.12198515769944342
2020-10-20,0.5936054421768707,0.2485714285714286
2020-10-21,0.16276785714285713,0.07741071428571428
2020-10-22,0.22604166666666667,0.08750000000000001
2020-10-23,0.41318241943241946,0.19145472582972584
2020-10-24,0.13999999999999999,-0.11750000000000001
2020-10-25,0.45326839826839826,0.06935064935064934
2020-10-26,0.3076331269039602,0.20474612193362193
2020-10-27,0.5597222222222222,0.2787037037037037
2020-10-28,0.4205537518037518,0.2409136002886003
2020-10-29,0.44315392015392013,0.24757263107263106
2020-10-30,0.44315392015392013,0.24757263107263106
2020-10-31,0.44315392015392013,0.24757263107263106
2020-11-01,0.29100806451612904,0.1630241935483871
2020-11-02,0.26086868686868686,0.011454545454545466
2020-11-03,0.33507130124777185,0.1891488413547237
2020-11-04,0.30763588263588265,0.20681818181818182
2020-11-05,0.07768065268065269,0.022727272727272728
2020-11-06,0.4277227402227402,0.13346283346283347
2020-11-07,0.18145743145743146,0.08751014610389611
2020-11-08,0.36636363636363634,0.3109090909090909
2020-11-09,0.3428895367670878,0.17228701004211208
2020-11-10,0.2685776470306857,0.10766584551114937
2020-11-11,0.3975575223862895,0.13089233825535196
2020-11-12,0.3378981867189414,0.13029128889977948
2020-11-13,0.2925925925925926,0.12118055555555556
2020-11-14,0.19051982963273287,0.13780111018014246
2020-11-15,0.4,0.19444444444444445
2020-11-16,0.40753367003367,0.09869528619528621
2020-11-17,0.3183739076154807,0.12413886051526501
2020-11-18,0.4309830230010953,0.17764238773274918
2020-11-19,0.3112943059494783,0.14263339470236022
2020-11-20,0.3403772727272727,0.27004119769119767
2020-11-21,0.2912091026886945,0.11765873015873017
2020-11-22,0.30509259259259264,0.21203703703703702
2020-11-23,0.2987847222222222,0.15709876543209877
2020-11-24,0.13883928571428572,0.12868303571428572
2020-11-25,0.19861111111111113,0.1
2020-11-26,0.24243551587301587,0.20944940476190477
2020-11-27,0.3475106837606838,0.10686965811965812
2020-11-28,0.13240740740740742,0.16944444444444443
2020-11-29,0.016666666666666666,0.049999999999999996
2020-11-30,0.016666666666666666,0.049999999999999996
2020-12-01,0.26648332817975673,0.14694882498453926
2020-12-02,0.30856503176090805,0.09183067791315212
2020-12-03,0.31293520309477757,0.2915377176015474
2020-12-04,0.2069187675070028,0.11725490196078432
2020-12-05,0.26878109452736315,0.225599276345545
2020-12-06,0.24675324675324675,0.12860750360750361
2020-12-07,0.24189002486874828,0.15012894906511928
2020-12-08,0.25013535166132567,0.16671666807218755
2020-12-09,0.30108225108225106,0.1062049062049062
2020-12-10,0.46876121212121213,0.14711757575757575
2020-12-11,0.31000939194904714,0.15364917649400409
2020-12-12,0.48022556390977444,0.2998997493734336
2020-12-13,0.41838735494197676,0.20396158463385355
2020-12-14,0.30959383642977395,0.11452392225829726
2020-12-15,0.38354356966797154,0.20184138031027984
2020-12-16,0.12166666666666666,0.008333333333333333
2020-12-17,0.43312872023809523,0.2760416666666667
2020-12-18,0.29444444444444445,0.17626262626262626
2020-12-19,0.07898351648351648,0.0
2020-12-20,0.3764285714285714,0.19722222222222222
2020-12-21,0.09081632653061225,0.0836734693877551
2020-12-22,0.19415584415584416,0.12597402597402596
2020-12-23,0.065,0.091
2020-12-24,0.22874999999999998,-0.005833333333333335
2020-12-25,0.22874999999999998,-0.005833333333333335
2020-12-26,0.2089285714285714,0.3214285714285714
2020-12-27,0.25835227272727274,0.0903811553030303
2020-12-28,0.18875324675324678,0.09592279942279942
2020-12-29,0.13848684210526316,0.07465111642743222
2020-12-30,0.13848684210526316,0.07465111642743222
2020-12-31,0.13848684210526316,0.07465111642743222
2021-01-01,0.33601884226884227,0.13481206293706294
2021-01-02,0.22142857142857145,0.18888888888888888
2021-01-03,0.11251515151515151,0.06512121212121212
2021-01-04,0.3088580424498146,0.14897143907428717
2021-01-05,0.20184683539352216,0.13156685182287592
2021-01-06,0.2354558143006419,0.1785824749962681
2021-01-07,0.25145502645502643,0.28055555555555556
2021-01-08,0.1332089552238806,0.11511194029850746
2021-01-09,0.2560397340754484,0.1727619002146313
2021-01-10,0.17277334659560092,0.1436664956751662
2021-01-11,0.19553212851405624,0.11154618473895582
2021-01-12,0.26647452788757137,0.14991216512955644
2021-01-13,0.159921875,0.12158854166666666
2021-01-14,0.16280243488981355,0.15183002003390353
2021-01-15,0.2370164835164835,0.0820934065934066
2021-01-16,0.16471825169938376,0.08984943777396608
2021-01-17,0.16615350941193638,0.050589766039204245
2021-01-18,0.27832454984628896,0.1547364953886693
2021-01-19,0.3286637931034483,0.11788793103448277
2021-01-20,0.3582927489177489,0.10145454545454546
2021-01-21,0.2557262827611665,0.1372890029866774
2021-01-22,0.3821779447235652,0.12400339421324821
2021-01-23,0.34567368667368664,0.1291042081042081
2021-01-24,0.2988506294928313,0.11408753326184518
2021-01-25,0.2691919191919192,0.11121586746586747
2021-01-26,0.2409464285714286,0.14663636363636365
2021-01-27,0.266104044357469,0.0682648401826484
2021-01-28,0.3022058629776021,0.0911259410878976
2021-01-29,0.23890756302521007,0.09049369747899161
2021-01-30,0.32593253968253966,0.13975859788359787
2021-01-31,0.32593253968253966,0.13975859788359787
2021-02-01,0.34965421409865854,0.1773468815135482
2021-02-02,0.35829764159451655,0.15666075937950938
2021-02-03,0.28566320088641517,0.1471558055040198
2021-02-04,0.31839505019361136,0.1561792124741765
2021-02-05,0.24648646279232872,0.1005727163897555
2021-02-06,0.4000274725274725,0.010430298867798855
2021-02-07,0.33846766989624133,0.12585927300213015
2021-02-08,0.31256435006435007,0.10614786864786864
