Date,DPI_subj_1,DPI_pol_1,DPI_subj_2,DPI_pol_2
2020-10-02,0.29537037037037034,0.237962962962963,0.29537037037037034,0.237962962962963
2020-10-03,0.575,0.4,0.575,0.4
2020-10-04,0.0,0.0,0.0,0.0
2020-10-05,0.0,0.0,0.0,0.0
2020-10-06,0.5132305965639299,0.1723155702322369,0.5132305965639299,0.1723155702322369
2020-10-07,0.2704746326905418,0.04758020546372819,0.2625200872359963,0.06135861455463727
2020-10-08,0.4182543507362784,0.2414578313253012,0.4182543507362784,0.24103949129852745
2020-10-09,0.45735294117647063,0.10005656108597286,0.4302036199095023,0.10062217194570136
2020-10-10,0.0,0.0,0.0,0.0
2020-10-11,0.037500000000000006,0.0125,0.037500000000000006,0.0125
2020-10-12,0.36755294884327144,0.2393108504398827,0.36755294884327144,0.23777126099706744
2020-10-13,0.14302721088435374,0.06802721088435373,0.14302721088435374,0.06564625850340135
2020-10-14,0.33281250000000007,-0.05,0.33281250000000007,-0.05
2020-10-15,0.3585768398268398,0.11861471861471862,0.3585768398268398,0.11861471861471862
2020-10-16,0.29817563388991963,0.1669526901669759,0.28562152133580704,0.151043599257885
2020-10-17,0.05217391304347827,0.0,0.05217391304347827,0.0
2020-10-18,0.4061224489795918,0.00034013605442176966,0.43307823129251705,0.021513605442176873
2020-10-19,0.2794063079777365,0.16841372912801486,0.2722634508348794,0.12198515769944342
2020-10-20,0.5936054421768707,0.2485714285714286,0.5936054421768707,0.2485714285714286
2020-10-21,0.16276785714285713,0.07741071428571428,0.16276785714285713,0.07741071428571428
2020-10-22,0.22604166666666667,0.08854166666666667,0.22604166666666667,0.08750000000000001
2020-10-23,0.42423039923039924,0.210741341991342,0.41318241943241946,0.19145472582972584
2020-10-24,0.13999999999999999,-0.125,0.13999999999999999,-0.11750000000000001
2020-10-25,0.45326839826839826,0.06732142857142857,0.45326839826839826,0.06935064935064934
2020-10-26,0.3076331269039602,0.20474612193362193,0.3076331269039602,0.20474612193362193
2020-10-27,0.5092592592592593,0.26805555555555555,0.5597222222222222,0.2787037037037037
2020-10-28,0.40735930735930737,0.2360524891774892,0.4205537518037518,0.2409136002886003
2020-10-29,0.4410705868205868,0.2376420755170755,0.44315392015392013,0.24757263107263106
2020-10-30,0.4410705868205868,0.2376420755170755,0.44315392015392013,0.24757263107263106
2020-10-31,0.4410705868205868,0.2376420755170755,0.44315392015392013,0.24757263107263106
2020-11-01,0.29100806451612904,0.1630241935483871,0.29100806451612904,0.1630241935483871
2020-11-02,0.2642020202020202,0.018121212121212135,0.26086868686868686,0.011454545454545466
2020-11-03,0.32894385026737966,0.1891488413547237,0.33507130124777185,0.1891488413547237
2020-11-04,0.30763588263588265,0.20681818181818182,0.30763588263588265,0.20681818181818182
2020-11-05,0.07768065268065269,0.022727272727272728,0.07768065268065269,0.022727272727272728
2020-11-06,0.4033637658637659,0.1462833462833463,0.4277227402227402,0.13346283346283347
2020-11-07,0.2161796536796537,0.13091292388167386,0.18145743145743146,0.08751014610389611
